date,greenLeafhopper,aphid,teaGeometrid,scaleInsect,teaHairyWorm
04-22,5,8,4,2,1
04-23,6,10,5,3,2
04-24,7,9,6,3,2
04-25,8,12,5,4,2
04-26,9,11,7,4,3
04-27,10,14,6,5,3
04-28,11,13,8,5,3
04-29,10,15,7,6,4
04-30,12,16,9,6,4
05-01,11,14,8,7,3
05-02,13,18,10,7,4
05-03,12,17,9,8,4
05-04,14,20,11,8,5
05-05,13,19,10,9,5
05-06,15,22,12,9,5
05-07,14,21,11,10,6
05-08,16,24,13,10,6
05-09,15,23,12,11,6
05-10,17,26,14,11,7
05-11,16,25,13,12,7
05-12,18,28,15,12,7
05-13,17,27,14,13,8
05-14,19,30,16,13,8
05-15,12,16,10,5,3
05-16,15,25,12,7,4
05-17,18,22,14,8,5
05-18,20,33,16,10,6
05-19,22,38,22,15,8
05-20,28,32,18,12,6
05-21,35,48,27,19,10
